publisher,reference-count,RetractionNature
Informa UK Limited,5,Non-Retraction
Elsevier BV,0,Non-Retraction
EDP Sciences,0,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
IEEE,13,Non-Retraction
Informa UK Limited,32,Non-Retraction
Elsevier BV,0,Non-Retraction
Pleiades Publishing Ltd,6,Non-Retraction
Elsevier BV,0,Non-Retraction
Research Square Platform LLC,0,Non-Retraction
Informa UK Limited,6,Non-Retraction
FapUNIFESP (SciELO),20,Non-Retraction
American Library Association,0,Non-Retraction
IEEE,10,Non-Retraction
Universidad Nacional Autonoma de Mexico,0,Non-Retraction
OSA,0,Non-Retraction
Pharmaceutical Society of Japan,0,Non-Retraction
Elsevier BV,11,Non-Retraction
De Gruyter,0,Non-Retraction
J.F. Bergmann-Verlag,46,Non-Retraction
OTC,14,Non-Retraction
BMJ,0,Non-Retraction
Springer Berlin Heidelberg,1,Non-Retraction
Informa UK Limited,0,Non-Retraction
Japan Society of Applied Physics,3,Non-Retraction
Elsevier BV,30,Non-Retraction
Springer Science and Business Media LLC,18,Non-Retraction
MKD Publishing House,0,Non-Retraction
Elsevier BV,0,Non-Retraction
EDP Sciences,0,Non-Retraction
BMJ,0,Non-Retraction
ASMEDC,0,Non-Retraction
Elsevier BV,13,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
IEEE,20,Non-Retraction
"University Library System, University of Pittsburgh",0,Non-Retraction
Mary Ann Liebert Inc,0,Non-Retraction
University of Chicago Press,0,Non-Retraction
University of Toronto Press,0,Non-Retraction
Elsevier BV,7,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer International Publishing,54,Non-Retraction
Elsevier BV,0,Non-Retraction
ASMEDC,0,Non-Retraction
Japan Petroleum Institute,0,Non-Retraction
IOP Publishing,15,Non-Retraction
Det Kgl. Bibliotek/Royal Danish Library,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
Springer Science and Business Media LLC,8,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Brill,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
The Optical Society,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
OSA,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Berlin Heidelberg,12,Non-Retraction
Informa UK Limited,0,Non-Retraction
American Association for the Advancement of Science (AAAS),0,Non-Retraction
Wageningen University and Research,0,Non-Retraction
Institution of Engineering and Technology (IET),17,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Royal College of Psychiatrists,0,Non-Retraction
Bangladesh Journals Online (JOL),0,Non-Retraction
Elsevier BV,0,Non-Retraction
DE GRUYTER,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Polskie Towarzystwo Teologiczne Sekcja Wydawnicza,0,Non-Retraction
IEEE,4,Non-Retraction
IEEE,6,Non-Retraction
Elsevier BV,0,Non-Retraction
Hindawi Limited,37,Non-Retraction
Elsevier BV,2,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,5,Non-Retraction
University of Chicago Press,0,Non-Retraction
IOP Publishing,17,Non-Retraction
Institute of Electrical Engineers of Japan (IEE Japan),18,Non-Retraction
SAGE Publications,0,Non-Retraction
AMPCo,0,Non-Retraction
IEEE,10,Non-Retraction
Springer Science and Business Media LLC,20,Non-Retraction
"Macrothink Institute, Inc.",0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
IEEE,0,Non-Retraction
American Society of Mechanical Engineers,0,Non-Retraction
Medip Academy,0,Non-Retraction
IGI Global,105,Non-Retraction
IGI Global,23,Non-Retraction
Wiley,1,Non-Retraction
OSA,8,Non-Retraction
Springer Science and Business Media LLC,20,Non-Retraction
De Gruyter,0,Non-Retraction
Springer Science and Business Media LLC,4,Non-Retraction
Oxford University Press (OUP),22,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Informa UK Limited,0,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
Inderscience Publishers,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Universidade Federal do Rio Grande do Sul,0,Non-Retraction
Rutgers University Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,10,Non-Retraction
Editorial CSIC,0,Non-Retraction
SAGE Publications,5,Non-Retraction
Galaxy Science,0,Non-Retraction
Elsevier BV,9,Non-Retraction
Springer Science and Business Media LLC,7,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Institution of Engineering and Technology (IET),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Institute of Electrical and Electronics Engineers (IEEE),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Society for Industrial & Applied Mathematics (SIAM),0,Non-Retraction
Elsevier BV,3,Non-Retraction
University of Toronto Press,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Corporacion Minuto de Dios University - UNIMINUTO,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Springer Science and Business Media LLC,21,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,5,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Portal de Periodicos da UFC,0,Non-Retraction
AMALTEA Medical Publishing House,0,Non-Retraction
ScopeMed,0,Non-Retraction
Vieweg+Teubner Verlag,0,Non-Retraction
IEEE,0,Non-Retraction
SPIE-Intl Soc Optical Eng,11,Non-Retraction
Universidad Alberto Hurtado,0,Non-Retraction
Springer Science and Business Media LLC,9,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,14,Non-Retraction
"Trans Tech Publications, Ltd.",15,Non-Retraction
Sociedad de Neurocirugia de Chile,0,Non-Retraction
University of Chicago Press,0,Non-Retraction
Elsevier BV,1,Non-Retraction
Health Supplements Future Forum,0,Non-Retraction
Elsevier BV,11,Non-Retraction
Koya University,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
The Endocrine Society,0,Non-Retraction
Springer Berlin Heidelberg,18,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
State Islamic University (UIN) of Sunan Ampel,0,Non-Retraction
Japan Society for Occupational Health,0,Non-Retraction
Journal of Applied Pharmaceutical Science,0,Non-Retraction
Elsevier BV,0,Non-Retraction
V&R unipress,0,Non-Retraction
Elsevier BV,7,Non-Retraction
IEEE,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Wiley,0,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
IMR Press,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
IOP Publishing,0,Non-Retraction
CMA Joule Inc.,0,Non-Retraction
American Institute of Aeronautics and Astronautics,19,Non-Retraction
CMA Joule Inc.,0,Non-Retraction
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",0,Non-Retraction
Asesorias y tutorias para la Investigacion Cientifica en la Educacion Puig-Salabarria S.C.,0,Non-Retraction
Springer Science and Business Media LLC,7,Non-Retraction
The Japanese Society for the History of Economic Thought,0,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,9,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
FapUNIFESP (SciELO),2,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Science and Business Media LLC,9,Non-Retraction
Massachusetts Medical Society,0,Non-Retraction
"Acta Physico-Chimica Sinica & University Chemistry Editorial Office, Peking University",0,Non-Retraction
Canadian Mathematical Society,10,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
Springer International Publishing,29,Non-Retraction
IEEE,15,Non-Retraction
Elsevier BV,0,Non-Retraction
"Research, Society and Development",0,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
AMPCo,0,Non-Retraction
IOP Publishing,8,Non-Retraction
Elsevier BV,0,Non-Retraction
American Physical Society (APS),27,Non-Retraction
Elsevier BV,1,Non-Retraction
Elsevier BV,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),15,Non-Retraction
Elsevier BV,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Pleiades Publishing Ltd,52,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
American Society for Microbiology,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Science and Business Media LLC,15,Non-Retraction
Springer International Publishing,9,Non-Retraction
Elsevier BV,0,Non-Retraction
Financial University under the Government of the Russian Federation,7,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Mary Ann Liebert Inc,0,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,6,Non-Retraction
SAGE Publications,4,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),8,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
GN1 Genesis Network,0,Non-Retraction
Elsevier BV,2,Non-Retraction
Institute of Electrical and Electronics Engineers (IEEE),7,Non-Retraction
Informa UK Limited,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
EDP Sciences,5,Non-Retraction
SAGE Publications,0,Non-Retraction
SAGE Publications,13,Non-Retraction
Elsevier BV,5,Non-Retraction
Cruzeiro do Sul Educacional,0,Non-Retraction
FapUNIFESP (SciELO),47,Non-Retraction
Cambridge University Press (CUP),4,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Springer Science and Business Media LLC,2,Non-Retraction
American Institute of Aeronautics and Astronautics,5,Non-Retraction
Informa UK Limited,0,Non-Retraction
Ceramic Society of Japan,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Canadian Science Publishing,0,Non-Retraction
Universitas Muhammadiyah Sidoarjo,0,Non-Retraction
Academy of Management,0,Non-Retraction
Institute of Electrical and Electronics Engineers (IEEE),0,Non-Retraction
Informa UK Limited,38,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,13,Non-Retraction
IEEE,5,Non-Retraction
Zaporizhzhia National University,0,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
BMJ,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Cambridge University Press (CUP),10,Non-Retraction
IEEE,0,Non-Retraction
Architectural Institute of Japan,0,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Elsevier BV,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Institution of Engineering and Technology (IET),6,Non-Retraction
Wiley,0,Non-Retraction
Springer Science and Business Media LLC,6,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
IEEE,15,Non-Retraction
Informa UK Limited,0,Non-Retraction
Institute of Mathematical Statistics,0,Non-Retraction
Elsevier BV,17,Non-Retraction
Walter de Gruyter GmbH,2,Non-Retraction
Gorgias Press,0,Non-Retraction
University of California Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Centre for Evaluation in Education and Science (CEON/CEES),0,Non-Retraction
Escienta Ltd,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Springer Berlin Heidelberg,3,Non-Retraction
IEEE,2,Non-Retraction
SAGE Publications,35,Non-Retraction
Springer Berlin Heidelberg,16,Non-Retraction
Informa UK Limited,14,Non-Retraction
Pleiades Publishing Ltd,15,Non-Retraction
Fiatal Muszakiak Tudomanyos Ulesszaka,0,Non-Retraction
Elsevier BV,0,Non-Retraction
University of Chicago Press,0,Non-Retraction
IEEE,14,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
IEEE,10,Non-Retraction
Springer International Publishing,19,Non-Retraction
Elsevier BV,15,Non-Retraction
IGI Global,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",0,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Elsevier BV,15,Non-Retraction
Wiley,0,Non-Retraction
Informa UK Limited,11,Non-Retraction
Elsevier BV,20,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Informa UK Limited,2,Non-Retraction
"MedCrave Group, LLC",0,Non-Retraction
Springer Science and Business Media LLC,14,Non-Retraction
University of Chicago Press,0,Non-Retraction
Universidad Sergio Arboleda,0,Non-Retraction
Springer Science and Business Media LLC,15,Non-Retraction
IEEE,9,Non-Retraction
Elsevier BV,0,Non-Retraction
Hindawi Limited,33,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Institute of Electrical and Electronics Engineers (IEEE),1,Non-Retraction
Elsevier BV,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
International Information and Engineering Technology Association,0,Non-Retraction
Elsevier BV,0,Non-Retraction
University of Pennsylvania Press,0,Non-Retraction
Akademiai Kiado Zrt.,12,Non-Retraction
University of Chicago Press,0,Non-Retraction
Informa UK Limited,12,Non-Retraction
Informa UK Limited,9,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Expressao Catolica,0,Non-Retraction
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",0,Non-Retraction
Rede Academica das Ciencias da Saude da Lusofonia,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,22,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
IEEE,13,Non-Retraction
Elsevier,0,Non-Retraction
Elsevier BV,0,Non-Retraction
"Scientific Research Publishing, Inc.",50,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,0,Non-Retraction
Scientific Scholar,8,Non-Retraction
IEEE,23,Non-Retraction
Informa UK Limited,0,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
Elsevier BV,0,Non-Retraction
The Royal Society,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Universidad de Chile,0,Non-Retraction
IEEE,4,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Universitas Negeri Padang (UNP),0,Non-Retraction
Columbia University Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Science and Business Media LLC,37,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
EDP Sciences,12,Non-Retraction
Elsevier BV,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
McGill University Library and Archives,0,Non-Retraction
Springer New York,0,Non-Retraction
Institute of Electrical and Electronics Engineers (IEEE),0,Non-Retraction
IEEE,0,Non-Retraction
Elsevier BV,1,Non-Retraction
Elsevier BV,0,Non-Retraction
Universitas Semarang,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Instituto Andaluz de Patrimonio Historico - IAPH,0,Non-Retraction
Informa UK Limited,4,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Japan Society of Plasma Science and Nuclear Fusion Research,7,Non-Retraction
EDP Sciences,8,Non-Retraction
Canadian Science Publishing,5,Non-Retraction
Korean Society of Sport Biomechanics,21,Non-Retraction
Springer Netherlands,0,Non-Retraction
The Bila Tserkva National Agrarian University,30,Non-Retraction
Informa UK Limited,0,Non-Retraction
American Institute of Aeronautics and Astronautics,2,Non-Retraction
Akademie Verlag,0,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
Oxford University Press (OUP),5,Non-Retraction
Elsevier BV,0,Non-Retraction
"Faculty of Medicine, Universitas Indonesia",0,Non-Retraction
SPIE,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,37,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
"Trans Tech Publications, Ltd.",0,Non-Retraction
Begellhouse,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Singapore,16,Non-Retraction
Elsevier BV,0,Non-Retraction
University of California Press,0,Non-Retraction
Springer Science and Business Media LLC,9,Non-Retraction
Informa UK Limited,6,Non-Retraction
Cambridge University Press (CUP),14,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
SAGE Publications,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Komunitas Manajemen Kompetitif,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,38,Non-Retraction
Emerald,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),7,Non-Retraction
Oxford University Press (OUP),1,Non-Retraction
Elsevier BV,1,Non-Retraction
Springer Berlin Heidelberg,5,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
Spandidos Publications,0,Non-Retraction
Elsevier BV,13,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Elsevier BV,15,Non-Retraction
FapUNIFESP (SciELO),0,Non-Retraction
Institute of Electrical Engineers of Japan (IEE Japan),0,Non-Retraction
IEEE,8,Non-Retraction
DE GRUYTER,0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
Cambridge University Press (CUP),7,Non-Retraction
Elsevier BV,0,Non-Retraction
ScopeMed,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Knowledge E,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Elsevier BV,0,Non-Retraction
ABED - Associacao Brasileira de Educacao a Distancia,0,Non-Retraction
Begellhouse,0,Non-Retraction
IEEE,0,Non-Retraction
Research Square Platform LLC,0,Non-Retraction
Informa UK Limited,16,Non-Retraction
Ceramic Society of Japan,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Harvard University Press,0,Non-Retraction
Springer Science and Business Media LLC,34,Non-Retraction
IGI Global,58,Non-Retraction
Edinburgh University Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
"Trans Tech Publications, Ltd.",6,Non-Retraction
Japanese Society of Radiological Technology,0,Non-Retraction
Iron and Steel Institute of Japan,0,Non-Retraction
FapUNIFESP (SciELO),0,Non-Retraction
Singidunum University,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Ceramic Society of Japan,0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
CMV Verlag,0,Non-Retraction
University of Chicago Press,0,Non-Retraction
Elsevier BV,13,Non-Retraction
OSA,2,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
IEEE Comput. Soc,8,Non-Retraction
Science Archives,0,Non-Retraction
Universitas Andalas,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
ISEAS Publishing,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
The Electrochemical Society of Japan,0,Non-Retraction
American Physical Society (APS),0,Non-Retraction
Mohr Siebeck,0,Non-Retraction
Elsevier BV,0,Non-Retraction
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,3,Non-Retraction
Informa UK Limited,21,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
American Association for the Advancement of Science (AAAS),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Fachmedien Wiesbaden GmbH,0,Non-Retraction
Radiological Society of North America (RSNA),0,Non-Retraction
UPV/EHU Press,0,Non-Retraction
Springer Science and Business Media LLC,17,Non-Retraction
Institution of Engineering and Technology (IET),0,Non-Retraction
IEEE,4,Non-Retraction
Informa UK Limited,0,Non-Retraction
Springer Berlin Heidelberg,39,Non-Retraction
SAGE Publications,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Princeton University Press,0,Non-Retraction
Massachusetts Medical Society,5,Non-Retraction
IOP Publishing,2,Non-Retraction
Elsevier BV,0,Non-Retraction
"Research Institute of Brewing and Malting, Plc. (Vyzkumny Ustav Pivovarsky a Sladarsky)",8,Non-Retraction
Universitat Autonoma de Barcelona,0,Non-Retraction
Elsevier BV,4,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
IEEE,8,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Elsevier BV,54,Non-Retraction
BMJ,0,Non-Retraction
IEEE,26,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
University Press of Florida,0,Non-Retraction
IEEE,9,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Test accounts,0,Non-Retraction
Elsevier BV,2,Non-Retraction
EDP Sciences,32,Non-Retraction
Wiley,0,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Universidade Federal de Santa Catarina (UFSC),0,Non-Retraction
European Respiratory Society,0,Non-Retraction
Springer Science and Business Media LLC,10,Non-Retraction
American Physical Society (APS),20,Non-Retraction
IEEE Comput. Soc. Press,7,Non-Retraction
Informa UK Limited,0,Non-Retraction
Springer US,16,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,8,Non-Retraction
FapUNIFESP (SciELO),0,Non-Retraction
University of Toronto Press,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Elsevier BV,10,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,2,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Wiley,0,Non-Retraction
GN1 Genesis Network,0,Non-Retraction
Yale University Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
Elsevier BV,6,Non-Retraction
American Institute of Aeronautics and Astronautics,13,Non-Retraction
Elsevier BV,0,Non-Retraction
BMJ,1,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
IEEE,12,Non-Retraction
Elsevier BV,18,Non-Retraction
Springer Science and Business Media LLC,4,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Japan Science Support Foundation,0,Non-Retraction
IEEE,9,Non-Retraction
IOP Publishing,9,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
Elsevier BV,19,Non-Retraction
SAGE Publications,0,Non-Retraction
Informa UK Limited,32,Non-Retraction
Springer International Publishing,15,Non-Retraction
Informa UK Limited,0,Non-Retraction
IOP Publishing,33,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Wiley,0,Non-Retraction
Korean Society of Plant Pathology,10,Non-Retraction
Society of Exploration Geophysicists,0,Non-Retraction
IEEE,6,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
DE GRUYTER,0,Non-Retraction
Elsevier BV,21,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Springer Science and Business Media LLC,4,Non-Retraction
University of Chicago Press,0,Non-Retraction
IEEE,0,Non-Retraction
Mahesa Research Institute,0,Non-Retraction
SAGE Publications,43,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
BMJ,0,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
IEEE,40,Non-Retraction
Cambridge University Press (CUP),1,Non-Retraction
Informa UK Limited,0,Non-Retraction
Elsevier BV,0,Non-Retraction
IOP Publishing,24,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Society for Meridian and Acupoint,42,Non-Retraction
Elsevier BV,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Science Alert,9,Non-Retraction
Elsevier BV,29,Non-Retraction
Lavoisier,2,Non-Retraction
IOP Publishing,0,Non-Retraction
Elsevier BV,7,Non-Retraction
Elsevier BV,23,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Pharmaceutical Society of Japan,0,Non-Retraction
University of Waterloo,0,Non-Retraction
Springer Berlin Heidelberg,13,Non-Retraction
Elsevier BV,0,Non-Retraction
Harvard University Press,0,Non-Retraction
"Trans Tech Publications, Ltd.",5,Non-Retraction
BMJ,0,Non-Retraction
Allerton Press,11,Non-Retraction
IEEE,7,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Duke University Press,0,Non-Retraction
DE GRUYTER,0,Non-Retraction
Springer Science and Business Media LLC,46,Non-Retraction
Architectural Institute of Japan,3,Non-Retraction
Elsevier BV,0,Non-Retraction
Inst. Electr. Eng. Japan,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
De Gruyter,0,Non-Retraction
International Union of Crystallography (IUCr),0,Non-Retraction
IEEE,4,Non-Retraction
IEEE,2,Non-Retraction
"Interdisciplinary Journal of Philosophy, Law and Economics",0,Non-Retraction
BMJ,0,Non-Retraction
Brill,0,Non-Retraction
"The Stomatological Society, Japan",0,Non-Retraction
Elsevier BV,0,Non-Retraction
SAGE Publications,2,Non-Retraction
Elsevier BV,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Elsevier BV,16,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
"Trans Tech Publications, Ltd.",14,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Institute of Electrical and Electronics Engineers (IEEE),0,Non-Retraction
IEEE,4,Non-Retraction
Springer Science and Business Media LLC,7,Non-Retraction
Emerald,12,Non-Retraction
Elsevier BV,1,Non-Retraction
IEEE Computer Society Press,20,Non-Retraction
Springer Berlin Heidelberg,0,Non-Retraction
Springer Netherlands,13,Non-Retraction
Informa UK Limited,0,Non-Retraction
IOS Press,0,Non-Retraction
Wiley,0,Non-Retraction
American Society of Civil Engineers,0,Non-Retraction
Informa UK Limited,15,Non-Retraction
Informa UK Limited,16,Non-Retraction
IOP Publishing,5,Non-Retraction
Elsevier BV,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Springer Science and Business Media LLC,4,Non-Retraction
Elsevier BV,0,Non-Retraction
STKIP Persada Khatulistiwa,0,Non-Retraction
Springer Fachmedien Wiesbaden,0,Non-Retraction
Universitas Iskandar Muda,0,Non-Retraction
Springer Science and Business Media LLC,20,Non-Retraction
World Scientific Pub Co Pte Lt,9,Non-Retraction
Elsevier BV,0,Non-Retraction
American Physical Society (APS),18,Non-Retraction
Wiley,0,Non-Retraction
DE GRUYTER,0,Non-Retraction
EDP Sciences,28,Non-Retraction
SAGE Publications,25,Non-Retraction
Brill,0,Non-Retraction
Informa UK Limited,9,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
Springer Science and Business Media LLC,12,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,26,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Elsevier,0,Non-Retraction
De Gruyter,0,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
"The Society of Synthetic Organic Chemistry, Japan",0,Non-Retraction
